track_name,album_name,track_id,duration_ms_x,lyrics,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,6dODwocEuGzHAavXqTbwHv,228965,"[Lời bài hát ""Fortnight"" bởi Taylor Swift (feat. Post Malone)]




[Verse 1: Taylor Swift]


Em đáng ra phải bị bắt đi rồi


Nhưng người ta đã quên đến đón em


Em là một con sâu rượu đang sống ổn thoả


Cho đến khi chẳng còn ai để ý đến gu thẩm mỹ mới của em nữa


Tất cả để nói rằng


Em mong anh vẫn ổn


Nhưng anh chính là lý do


Và chẳng ai trách gì đâu


Nhưng còn sự phản bội lặng thầm của anh thì sao?




[Điệp Khúc: Taylor Swift]


Và trong suốt 2 tuần ấy, mình bên nhau muôn đời


Đôi lần chạm mặt anh, hỏi vu vơ thời tiết


Giờ anh sau sân vườn, hóa thành hàng xóm tốt


Vợ anh đang tưới hoa, em muốn giết chết ả




[Verse 2: Taylor Swift, 
Taylor Swift & Post Malone
, 
Post Malone
]


Những sớm mai của em là những thứ Hai mắc kẹt trong một 
tháng 2 bất tận


Em đã uống thứ thuốc bước tiếp diệu kỳ, nhưng 
tác dụng chỉ là tạm thời thôi


Và em yêu anh, thứ tình yêu đang phá hủy đời em


Em yêu anh, thứ tình yêu đang phá hủy đời em


Em chạm vào anh trong vỏn vẹn 2 tuần


Em chạm vào anh
, nhưng em đã bên anh[Điệp Khúc: Taylor Swift, 
Taylor Swift & Post Malone
]


Và trong suốt 2 tuần ấy, 
mình đã cùng bên nhau


Đôi lần chạm mặt anh, hỏi 
vu vơ thời tiết


Giờ anh sau sân vườn, hóa 
thành hàng xóm tốt


Vợ anh đang tưới hoa, em muốn giết chết ả


Và trong suốt 2 tuần ấy, 
mình đã cùng bên nhau


Đôi lần chạm mặt anh, khen chiếc áo em mang


Giờ anh ở hòm thư, hóa thành hàng xóm tốt


Chồng em đang ngoại tình, em muốn giết chết ảnh




[Bridge: Taylor Swift, 
Post Malone
, 
Taylor Swift & Post Malone
]


Em yêu anh, thứ tình yêu đang phá hủy đời em


Em yêu anh, thứ tình yêu đang phá hủy đời em


Em chạm tới anh trong vỏn vẹn 2 tuần


Em chạm vào anh, em chạm vào anh


Em yêu anh, thứ tình yêu đang phá hủy đời em


Em yêu anh, thứ tình yêu đang phá hủy đời em


Em chạm tới anh trong vỏn vẹn 2 tuần


Em chạm vào anh, em chạm vào anh




[Đoạn Kết: Post Malone, 
Post Malone & Taylor Swift
, 
Taylor Swift
]


Nghĩ đến chuyện gọi em, nhưng em chẳng bắt máy


Thêm 2 tuần nữa lạc giữa xứ cờ hoa


Chuyển đến Florida, 
mua chiếc xe em thích


Nhưng nó chẳng nổ máy tới khi em 
chạm, chạm, chạm vào anh


Nghĩ đến chuyện gọi em, nhưng em chẳng bắt máy


Thêm 2 tuần nữa lạc giữa xứ cờ hoa


Chuyển đến Florida, mua chiếc xe em thích


Nhưng nó chẳng nổ máy tới khi em chạm, chạm, chạm vào anh",Sad,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,audio_features,6dODwocEuGzHAavXqTbwHv,spotify:track:6dODwocEuGzHAavXqTbwHv,https://api.spotify.com/v1/tracks/6dODwocEuGzHAavXqTbwHv,https://api.spotify.com/v1/audio-analysis/6dODwocEuGzHAavXqTbwHv,228965,4
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,4PdLaGZubp4lghChqp8erB,293048,"[Verse 1]


You left your typewriter at my apartment


Straight from the tortured poets department


I think some things I never say


Like, ""Who uses typewriters anyway?""


But you're in self-sabotage mode


Throwing spikes down on the road


But I've seen this episode
 
and still loved the show


Who else decodes you?




[Chorus]


And who's gonna hold you like me?


And who's gonna know you, if not me?


I laughed in your face and said


""You're not Dylan Thomas, I'm not Patti Smith


This ain't the Chelsea Hotel, we'rе modern idiots""


And who's gonna hold you like me?




[Post-Chorus]


Nobody


No-fucking-body


Nobody




[Verse 2]


You smokеd, then ate seven bars of chocolate


We declared Charlie Puth should be a bigger artist


I scratch your head, you fall asleep


Like a tattooed golden retriever


But you awaken with dread


Pounding nails in your head


But I've read this one where you come undone


I chose this cyclone with you[Chorus]


And who's gonna hold you like me?


(Who's gonna hold you? Who's gonna hold you?)


And who's gonna know you like me?


(Who's gonna know you?)


I laughed in your face and said


""You're not Dylan Thomas, I'm not Patti Smith


This ain't the Chelsea Hotel, we're modern idiots""


And who's gonna hold you like me?


(Who's gonna hold you? Who's gonna hold you?)




[Post-Chorus]


No-fucking-body


(Who's gonna hold you? Who's gonna hold you?)


Nobody


(Who's gonna hold you? Gonna know you? Gonna troll you?)


Nobody




[Bridge]


Sometimes, I wonder if you're gonna screw this up with me


But you told Lucy you'd kill yourself if I ever leave


And I had said that to Jack about you, so I felt seen


Everyone we know understands why it's meant to be


'Cause we're crazy


So tell me, who else is gonna know me?


At dinner, you take my ring off my middle finger


And put it on the one people put wedding rings on


And that's the closest I've come to my heart exploding[Chorus]


Who's gonna hold you? (Who?)


Me


Who's gonna know you? (Who?)


Me


And you're not Dylan Thomas, I'm not Patti Smith


This ain't the Chelsea Hotel, we're two idiots


Who's gonna hold you?




[Post-Chorus]


Who's gonna hold you?


Who's gonna hold you?


Who's gonna hold you?


Who's gonna hold you?


Who's gonna hold you?


Who's gonna hold you?


Who's gonna hold you?


Gonna know you? Gonna troll you?




[Outro]


You left your typewriter at my apartment


Straight from the tortured poets department


Who else decodes you?",Sad,0.604,0.428,0,-8.441,1,0.0255,0.0483,0.0,0.126,0.292,110.259,audio_features,4PdLaGZubp4lghChqp8erB,spotify:track:4PdLaGZubp4lghChqp8erB,https://api.spotify.com/v1/tracks/4PdLaGZubp4lghChqp8erB,https://api.spotify.com/v1/audio-analysis/4PdLaGZubp4lghChqp8erB,293048,4
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,7uGYWMwRy24dm7RUDDhUlD,203801,"[Verse 1]


Oh, here we go again


The voices in his head


Called the rain to end our days of wild


The sickest army doll


Purchased at the mall


Rivulets descend my plastic smile




[Pre-Chorus]


But you should've seen him when he first got me




[Chorus]


My boy only breaks his favorite toys, toys, oh


I'm queen of sand castles he destroys, oh, oh


'Cause it fit too right, puzzle pieces in the dead of night


I should've known it was a matter of time, oh, oh


My boy only breaks his favorite toys, oh, oh




[Verse 2]


There was a litany of reasons why


We could've playеd for keeps this time


I know I'm just repeating mysеlf


Put me back on my shelf


But first, pull the string


And I'll tell you that he runs


Because he loves me (He loves me)[Pre-Chorus]


'Cause you should've seen him when he first saw me




[Chorus]


My boy (My boy), only breaks his favorite toys, toys, oh


I'm queen (I'm queen), of sand castles he destroys, oh, oh


'Cause I knew too much, there was danger in the heat of my touch


He saw forever, so he smashed it up, oh, oh


My boy (My boy), only breaks his favorite toys, oh, oh




[Bridge]


(Oh-oh-oh, oh-oh-oh) Once I fix me


(Oh-oh-oh, oh-oh-oh) He's gonna miss me


(Oh-oh-oh, oh-oh-oh) Once I fix me


(Oh-oh-oh, oh-oh-oh) He's gonna miss me




[Outro]


Just say when, I'd play again


He was my best friend down at the sandlot


I felt more when we played pretend


Than with all the Kens


'Cause he took me out of my box


Stole my tortured heart


Left all these broken parts


Told me I'm better off


But I'm not


I'm not, I'm not",Calm,0.596,0.563,0,-7.362,1,0.0269,0.137,0.0,0.302,0.481,97.073,audio_features,7uGYWMwRy24dm7RUDDhUlD,spotify:track:7uGYWMwRy24dm7RUDDhUlD,https://api.spotify.com/v1/tracks/7uGYWMwRy24dm7RUDDhUlD,https://api.spotify.com/v1/audio-analysis/7uGYWMwRy24dm7RUDDhUlD,203801,4
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,1kbEbBdEgQdQeLXCJh28pJ,261228,"[Verse 1]


Did you really beam me up


In a cloud of sparkling dust


Just to do experiments on?


Tell me I was the chosen one


Showed me that this world is bigger than us


Then sent me back where I came from




[Pre-Chorus]


For a moment, I knew cosmic love




[Chorus]


Now I'm down bad, cryin' at the gym


Everything comes out teenage petulance


""Fuck it if I can't have him""


""I might just die, it would make no difference""


Down bad, wakin' up in blood


Starin' at the sky, come back and pick me up


Fuck it if I can't have us


I might just not get up, I might stay




[Post-Chorus]


Down bad


Fuck it if I can't have him


Down bad


Fuck it if I can't have him[Verse 2]


Did you take all my old clothes


Just to leave me here, naked and alone


In a field in my same old town


That somehow seems so hollow now?


They'll say I'm nuts if I talk about


The existence of you




[Pre-Chorus]


For a moment, I was heavenstruck




[Chorus]


Now I'm down bad, cryin' at the gym (Cryin' at the gym)


Everything comes out teenage petulance


""Fuck it if I can't have him"" (Fuck it if I can't have him)


""I might just die, it would make no difference""


Down bad, wakin' up in blood (Wakin' up in blood)


Starin' at the sky, come back and pick me up


Fuck it if I can't have us


I might just not get up, I might stay




[Post-Chorus]


Down bad (Like I lost my twin)


Fuck it if I can't have him (Down bad)


Down bad (Wavin' at the ship)


Fuck it if I can't have him[Bridge]


I loved your hostile takeovers


Encounters closer and closer


All your indecent exposures


How dare you say that it's—


I'll build you a fort on some planet


Where they can all understand it


How dare you think it's romantic


Leaving me safe and stranded


'Cause fuck it, I was in love


So fuck you if I can't have us


'Cause fuck it, I was in love




[Chorus]


Now I'm down bad, cryin' at the gym (Cryin' at the gym)


Everything comes out teenage petulance


""Fuck it if I can't have him"" (Can't have him)


""I might just die, it would make no difference""


Down bad, wakin' up in blood (Wakin' up in blood)


Starin' at the sky, come back and pick me up


Fuck it if I can't have us


I might just not get up, I might stay




[Post-Chorus]


Down bad (Like I lost my twin)


Fuck it if I can't have him (I'm down bad)


Down bad (Wavin' at the ship)


Fuck it if I can't have him[Outro]


Like I lost my twin


Fuck it if I can't have him


Down bad (Wavin' at the ship)


Fuck it if I can't have him",Sad,0.541,0.366,11,-10.412,1,0.0748,0.56,1e-06,0.0946,0.168,159.707,audio_features,1kbEbBdEgQdQeLXCJh28pJ,spotify:track:1kbEbBdEgQdQeLXCJh28pJ,https://api.spotify.com/v1/tracks/1kbEbBdEgQdQeLXCJh28pJ,https://api.spotify.com/v1/audio-analysis/1kbEbBdEgQdQeLXCJh28pJ,261228,4
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,7wAkQFShJ27V8362MqevQr,262974,"[Intro]


So (So) long (Long), London (London)


So (So) long (Long), London (London)


So (So) long (Long), London (London)




[Verse 1]


I saw in my mind fairy lights through the mist


I kept calm and carried the weight of the rift


Pulled him in tighter each time he was driftin' away


My spine split from carrying us up the hill


Wet through my clothes, weary bones caught the chill


I stopped tryna make him laugh, stopped tryna drill the safe




[Chorus]


Thinkin', ""How much sad did you think I had


Did you think I had in me?""


Oh, the tragedy


So long, London


You'll find someone




[Verse 2]


I didn't opt in to be your odd man out


I founded the club she's heard great things about


I left all I knew, you left me at the house by the Heath


I stoppеd CPR, after all, it's no use


The spirit was gonе, we would never come to


And I'm pissed off you let me give you all that youth for free[Chorus]


For so long, London


Stitches undone


Two graves, one gun


I'll find someone




[Bridge]


And you say I abandoned the ship


But I was going down with it


My white-knuckle dying grip


Holding tight to your quiet resentment


And my friends said it isn't right to be scared


Every day of a love affair


Every breath feels like rarest air


When you're not sure if he wants to be there




[Chorus]


So how much sad did you think I had


Did you think I had in me?


How much tragedy?


Just how low did you


Think I'd go 'fore I'd self-implode?


'Fore I'd have to go be free?




[Verse 3]


You swore that you loved me, but where were the clues?


I died on the altar waitin' for the proof


You sacrificed us to the gods of your bluest days


And I'm just getting color back into my face


I'm just mad as hell 'cause I loved this place for[Chorus]


So (So) long (Long), London (London)


Had (Had) a (A) good (Good) run (Run)


A moment (Moment) of warm sun (Sun)


But I'm (I'm) not (Not) the (The) one (One)


So (So) long (Long), London (London)


Stitches (Stitches) undone (Undone)


Two (Two) graves (Graves) one gun (Gun)


You'll (You'll) find (Find) someone",Sad,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,audio_features,7wAkQFShJ27V8362MqevQr,spotify:track:7wAkQFShJ27V8362MqevQr,https://api.spotify.com/v1/tracks/7wAkQFShJ27V8362MqevQr,https://api.spotify.com/v1/audio-analysis/7wAkQFShJ27V8362MqevQr,262975,4
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,4QMgEffJQuKtjCNvqfRZ0m,340428,"[Verse 1]


I forget how the West was won


I forget if this was ever fun


I just learned these people only raise you


To cage you


Sarahs and Hannahs in their Sunday best


Clutchin' their pearls, sighing, ""What a mess""


I just learned these people try and save you


'Cause they hate you




[Pre-Chorus]


Too high a horse


For a simple girl


To rise above it


They slammed the door


On my whole world


The one thing I wanted




[Chorus]


Now I'm runnin' with my dress unbuttoned


Scrеamin', ""But, Daddy, I love him""


I'm havin' his baby


No, I'm not, but you should see your faces


I'm tellin' him to floor it through thе fences


No, I'm not coming to my senses


I know he's crazy, but he's the one I want[Verse 2]


Dutiful daughter, all my plans were laid


Tendrils tucked into a woven braid


Growin' up precocious sometimes means


Not growin' up at all


He was chaos, he was revelry


Bedroom eyes like a remedy


Soon enough, the elders had convened


Down at the city hall




[Pre-Chorus]


""Stay away from her""


The saboteurs


Protested too much


Lord knows the words


We never heard


Just screeching tires and true love




[Chorus]


And I'm runnin' with my dress unbuttoned


Screamin', ""But, Daddy, I love him""


I'm havin' his baby


No, I'm not, but you should see your faces


I'm tellin' him to floor it through the fences


No, I'm not coming to my senses


I know he's crazy, but he's the one I want[Post-Chorus]


I'll tell you something right now


I'd rather burn my whole life down


Than listen to one more second of all this bitchin' and moanin'


I'll tell you something 'bout my good name


It's mine alone to disgrace


I don't cater to all these vipers dressed in empath's clothing




[Bridge]


God save the most judgmental creeps


Who say they want what's best for me


Sanctimoniously performing soliloquies I'll never see


Thinkin' it can change the beat


Of my heart when he touches me


And counteract the chemistry


And undo the destiny


You ain't gotta pray for me


Me and my wild boy and all of this wild joy


If all you want is gray for me


Then it's just white noise, and it's just my choice




[Verse 3]


There's a lot of people in town that I


Bestow upon my fakest smiles


Scandal does funny things to pride, but brings lovers closer


We came back when the heat died down


Went to my parents and they came around


All the wine moms are still holdin' out, but fuck 'em, it's over[Chorus]


Now I'm dancin' in my dress in the sun and


Even my daddy just loves him


I'm his lady


And, oh my God, you should see your faces


Time, doesn't it give some perspective?


And, no, you can't come to the wedding


I know it's crazy, but he's the one I want




[Post-Chorus]


I'll tell you something right now


You ain't gotta pray for me


Me and my wild boy and all of this wild joy


(He was chaos, he was revelry)


If all you want is gray for me


Then it's just white noise, and it's my choice




[Outro]


Screamin', ""But, Daddy, I love him""


I'm having his baby


No, I'm not


But you should see your faces


But, oh my God, you should see your faces


(He was chaos, he was revelry)


(He was chaos, he was revelry)",Energetic,0.521,0.72,4,-7.684,1,0.104,0.384,0.0,0.135,0.438,79.943,audio_features,4QMgEffJQuKtjCNvqfRZ0m,spotify:track:4QMgEffJQuKtjCNvqfRZ0m,https://api.spotify.com/v1/tracks/4QMgEffJQuKtjCNvqfRZ0m,https://api.spotify.com/v1/audio-analysis/4QMgEffJQuKtjCNvqfRZ0m,340428,4
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,7IWcDWOfiooH5hRs9XOVYz,210789,"[Intro]


Now, pretty baby, I'm runnin' back home to you


Fresh out the slammer, I know who my first call will be to


(Fresh out the slammer, oh)




[Verse 1]


Another summer takin' cover, rolling thunder


He don't understand me


Splintered back in winter
, 
silent dinners, bitter


He was with her in dreams




[Pre-Chorus]


Gray and blue and fights and tunnels


Handcuffed to the spell I was under


For just one hour of sunshine


Years of labor, locks, and ceilings


In the shade of how he was feeling


But it's gonna be alright, I did my time




[Chorus]


Now, pretty baby, I'm runnin' back home to you


Frеsh out the slammer, I know who my first call will be to


(Frеsh out the slammer, oh)




[Verse 2]


Camera flashes, welcome bashes, get the matches


Toss the ashes off the ledge


As I said in my letters, now that I know better


I will never lose my baby again[Pre-Chorus]


My friends tried, but I wouldn't hear it


Watch me daily disappearing


For just one glimpse of his smile


All those nights, he kept me goin'


Swirled you into all of my poems


Now we're at the starting line, I did my time




[Chorus]


Now, pretty baby, I'm runnin'




[Bridge]


To the house where you still wait up and that porch light gleams (Gleams)


To the one who says I'm the girl of his American dreams


And no matter what I've done, it wouldn't matter anyway


Ain't no way I'm gonna screw up now that I know what's at stake here


At the park where we used to sit on children's swings


Wearing imaginary rings




[Outro]


But it's gonna be alright, I did my time",Sad,0.33,0.483,9,-9.394,1,0.0399,0.624,0.0,0.111,0.34,87.115,audio_features,7IWcDWOfiooH5hRs9XOVYz,spotify:track:7IWcDWOfiooH5hRs9XOVYz,https://api.spotify.com/v1/tracks/7IWcDWOfiooH5hRs9XOVYz,https://api.spotify.com/v1/audio-analysis/7IWcDWOfiooH5hRs9XOVYz,210789,4
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,5ExOm0dh4NyRyAdSAO9hyM,215463,"You can beat the heat


Bạn sẽ thoát khỏi sự gay gắt




If you beat the charges, too


Nếu bác bỏ được những cáo buộc




They said I was a cheat


Họ bảo em là kẻ lừa dối




I guess it must be true


Chắc hình như là đúng thế rồi




And my friends all smell like weed or little babies


Và đám bạn em đều có mùi như cần sa hay mấy bé sơ sinh




And this city reeks of driving myself crazy


Và cái thành phố nặng mùi đang khiến em phát rồ




Little did you know


Người liệu có biết rằng




Your home's really only a town


Thành phố quê người chỉ là một chốn




You're just a guest in


Nơi người là kháchSo you work your life away


Nên người làm việc cật lực




Just to pay for a timeshare


Chỉ để thuê một căn timeshare




Down in Destin


Ở tận Destin




Florida!!!


Florida!!!




Is one hell of a drug


Là một thứ ma dược




Florida!!!


Florida!!!




Can I use you up?


Em dùng hết được không?




The hurricane with my name when it came


Khi cơn bão mang tên em đổ bộ




I got drunk and I dare it to wash me away


Em say mèm, và thách thức nó cuốn em đi xaBarricaded in the bathroom with a bottle of wine


Che chắn trong nhà tắm với một chai rượu đắng




Well me and my ghosts, we had a hell of a time


Ôi, em với những bóng ma, tụi em đã có khoảng thời gian thật tuyệt




Yes I'm haunted, but I'm feeling just fine


Ừ, em bị ám đấy, nhưng em thấy vẫn ổn mà




All my girls got their lace and their crimes


Đám bạn em đều diện đồ ren che đi những tội ác




And your cheating husband disappeared, well


Và ông chồng ngoại tình của người đã biến mất




No one asks any questions here


Well, chẳng có ai thắc mắc gì ở chốn này




So I did my best to lay to rest


Nên em cứ thoải mái nghỉ ngơi




All of the bodies that have ever been on my body


Tất thảy những thân xác đã từng qua tay em




And in my mind, they sink into the swamp


Trong tâm trí em, họ đã chìm hết xuống đầm lầyIs that a bad thing to say in a song?


Đấy có phải một điều tệ hại để kể trong một bài hát không ta?




Little did you know your home's


Người liệu có biết rằng quê nhà của người




Really only the town you'll get arrested


Thật sự sẽ là nơi người bị bắt giữ




So you pack your life away


Nên người làm việc cật lực




Just to wait out the shitstorm


Chỉ để chờ cho cơn bão dư luận tan đi




Back in Texas


Ở Texas




Florida!!!


Florida!!!




Is one hell of a drug


Là một thứ ma dược




Florida!!!


Florida!!!




Can I use you up?


Em dùng hết được không?




I need to forget so


Em cần phải quên đi




Take me to Florida


Đưa em đến Florida




I got some regrets


Em có vài nuối tiếc




I'll bury them in Florida


Em sẽ chôn vùi chúng ở Florida




Tell me I'm despicable


Nói rằng em là kẻ đáng khinh




Say it's unforgivable


Bảo điều ấy là chẳng thể tha thứ




At least the dolls are beautiful


Ít nhất thì đám búp bê cũng xinh xắn đấy chứ




Fuck me up, Florida!


Phá hủy em đi, hỡi Florida




I need to forget so


Em cần phải quên đi




Take me to Florida


Đưa em đến Florida




I got some regrets


Em có vài nuối tiếc




I'll bury them in Florida


Em sẽ chôn vùi chúng ở Florida




Tell me I'm despicable


Nói rằng em là kẻ đáng khinh




Say it's unforgivable


Bảo điều ấy là chẳng thể tha thứ




What a crash, what a rush


Thật tan nát, thật vội vàng




Fuck me up, Florida!


Phá hủy em đi, hỡi Florida




It's one hell of a drug


Là một thứ ma dược




It's one hell of a drug


Là một thứ ma dược




Love left me like this


Tình yêu khiến em thành thế này




And I don't want to exist


Và em chẳng còn muốn tồn tại nữa




So take me to Florida


Hãy đưa em đến Florida




Little did you know


Người liệu có biết rằng




Your home's really only a town


Thành phố quê người chỉ là một chốn




You're just a guest in


Nơi người là khách




So you work your life away


Nên người làm việc cật lực




Just to pay for a timeshare


Chỉ để thuê một căn timeshare




Down in Destin


Ở tận Destin




Little did you know your home's


Người liệu có biết rằng quê nhà của người




Really only the town you'll get arrested


Thật sự sẽ là nơi người bị bắt giữ




So you pack your life away


Nên người làm việc cật lực




Just to wait out the shitstorm


Chỉ để chờ cho cơn bão dư luận tan đi




Back in Texas


Ở Texas




Florida!!!


Florida!!!




Is one hell of a drug


Là một thứ ma dược




Florida!!!


Florida!!!




Can I use you up?


Em dùng hết được không?




Florida!!!


Florida!!!




Is one hell of a drug


Là một thứ ma dược




Florida!!!


Florida!!!




Go on fuck me up


Tới đây, phá tan em đi",Calm,0.533,0.573,0,-7.123,1,0.138,0.178,0.0,0.309,0.398,150.088,audio_features,5ExOm0dh4NyRyAdSAO9hyM,spotify:track:5ExOm0dh4NyRyAdSAO9hyM,https://api.spotify.com/v1/tracks/5ExOm0dh4NyRyAdSAO9hyM,https://api.spotify.com/v1/audio-analysis/5ExOm0dh4NyRyAdSAO9hyM,215463,4
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,799KrpEbhZp0MHeiA8YK9P,254365,"[Verse 1]


Drownin' in the Blue Nile


He sent me ""Downtown Lights""


I hadn't heard it in a while


My boredom's bone-deep


This cage was once just fine


Am I allowed to cry?


I dream of crackin' locks


Throwin' my life to the wolves
 or 
the ocean rocks


Crashin' into him tonight, he's a paradox


I'm seeing visions


Am I bad or mad or wise?




[Chorus]


What if he's written 
""mine""
 on my 
upper thigh
 
only in my mind?


One slip and fallin' back into the hedge maze


Oh, what a way to die


I keep recalling things we never did


Messy top-lip kiss, how I long for our trysts


Without ever touchin' his skin


How can I be guilty as sin?




[Verse 2]


I keep these longings lockеd


In lowercase, inside a vault


Somеone told me, ""There's no such thing as bad thoughts


Only your actions talk""


These fatal fantasies


Giving way to labored breath, takin' all of me


We've already done it in my head


If it's make-believe


Why does it feel like a vow we'll both uphold somehow?[Chorus]


What if he's written ""mine"" on my upper thigh only in my mind?


One slip and fallin' back into the hedge maze


Oh, what a way to die


My bed sheets are ablaze


I've screamed his name


Buildin' up like waves crashin' over my grave


Without ever touchin' his skin


How can I be guilty as sin?




[Bridge]


What if I roll the stone away?


They're gonna crucify me anyway


What if the way you hold me is actually what's holy?


If long-suffering propriety is what they want from me


They don't know how you've haunted me so stunningly


I choose you and me religiously




[Chorus]


What if he's written ""mine"" on my upper thigh only in my mind?


One slip and fallin' back into the hedge maze


Oh, what a way to die


I keep recalling things we never did


Messy top-lip kiss, how I long for our trysts


Without ever touchin' his skin


How can I be guilty as sin?[Outro]


He sent me ""Downtown Lights""


I hadn't heard it in a while


Am I allowed to cry?",Calm,0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95,audio_features,799KrpEbhZp0MHeiA8YK9P,spotify:track:799KrpEbhZp0MHeiA8YK9P,https://api.spotify.com/v1/tracks/799KrpEbhZp0MHeiA8YK9P,https://api.spotify.com/v1/audio-analysis/799KrpEbhZp0MHeiA8YK9P,254366,3
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2d8UxVNhJinc8uat9PoM9y,334084,"[Verse 1]


The who's who of ""Who's that?"" is poised for the attack


But my bare hands paved their paths


You don't get to tell me about ""sad""




[Pre-Chorus]


If you wanted me dead, you should've just said


Nothing makes me feel more alive




[Chorus]


So I leap from the gallows and I levitate down your street


Crash the party like a record scratch as I scream


""Who's afraid of little old me?""


You should be




[Verse 2]


The scandal was contained


The bullet had just grazed


At all costs, keep your good name


You don't get to tell me you feel bad




[Pre-Chorus]


Is it a wonder I broke? Let's hear one morе joke


Then we could all just laugh until I cry




[Chorus]


So I lеap from the gallows and I levitate down your street


Crash the party like a record scratch as I scream


""Who's afraid of little old me?""


I was tame, I was gentle 'til the circus life made me mean


""Don't you worry, folks, we took out all her teeth""


Who's afraid of little old me?


Well, you should be[Post-Chorus]


(You should be) You should be


(You should be) You should be


You should be (You should be)


You should be (You should be)


You should be




[Bridge]


So tell me everything is not about me


But what if it is?


Then say they didn't do it to hurt me


But what if they did?


I wanna snarl and show you just how disturbed this has made me


You wouldn't last an hour in the asylum where they raised me


So all you kids can sneak into my house with all the cobwebs


I'm always drunk on my own tears, isn't that what they all said?


That I'll sue you if you step on my lawn


That I'm fearsome and I'm wretched and I'm wrong


Put narcotics into all of my songs


And that's why you're still singin' along




[Chorus]


So I leap from the gallows and I levitate down your street


Crash the party like a record scratch as I scream


""Who's afraid of little old me?""


I was tame, I was gentle 'til the circus life made me mean


""Don't you worry, folks, we took out all her teeth""


Who's afraid of little old me?


Well, you should be[Post-Chorus]


(You should be) You should be


(You should be) You should be


'Cause you lured me (You should be)


And you hurt me (You should be)


And you taught me




[Outro]


You caged me and then you called me crazy


I am what I am 'cause you trained me


So who's afraid of me?


Who's afraid of little old me?


Who's afraid of little old me?",Sad,0.606,0.338,0,-10.555,1,0.048,0.315,0.0,0.106,0.238,119.88,audio_features,2d8UxVNhJinc8uat9PoM9y,spotify:track:2d8UxVNhJinc8uat9PoM9y,https://api.spotify.com/v1/tracks/2d8UxVNhJinc8uat9PoM9y,https://api.spotify.com/v1/audio-analysis/2d8UxVNhJinc8uat9PoM9y,334085,4
